#Supplementary Data 1. Drug-disease annotations and proximity values of drugs to diseases, pathways and side effects.							
Disease	Drug	Drugbank ID	Palliative	In FDA label	Relative Efficacy (RE)	Indication (from DailyMed)	Note
breast neoplasms	Epirubicin	DB00445	0	1	0,900452	Epirubicin Hydrochloride Injection is an anthracycline topoisomerase II inhibitor indicated as a component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer (1.1).	
breast neoplasms	Estradiol	DB00783	1	1	NA	Estradiol tablets are indicated in the: 1. Treatment of moderate to severe vasomotor symptoms associated with the menopause. 2. Treatment of moderate to severe symptoms of vulvar and vaginal atrophy associated with the menopause. When prescribed solely for the treatment of symptoms of vulvar and vaginal atrophy, topical vaginal products should be considered. 3. Treatment of hypoestrogenism due to hypogonadism, castration or primary ovarian failure. 4. Treatment of breast cancer (for palliation only) in appropriately selected women and men with metastatic disease. 5. Treatment of advanced androgen-dependent carcinoma of the prostate (for palliation only). 6. Prevention of osteoporosis. When prescribing solely for the prevention of postmenopausal osteoporosis, therapy should only be considered for women at significant risk of osteoporosis and for whom non-estrogen medications are not considered to be appropriate (See CLINICAL PHARMACOLOGY, Clinical Studies.) The mainstays for decreasing the risk of postmenopausal osteoporosis are weight bearing exercise, adequate calcium and vitamin D intake, and when indicated, pharmacologic therapy. Postmenopausal women require an average of 1500 mg/day of elemental calcium. Therefore, when not contraindicated, calcium supplementation may be helpful for women with suboptimal dietary intake. Vitamin D supplementation of 400 to 800 IU/day may also be required to ensure adequate daily intake in postmenopausal women.	Treatment of breast cancer (for palliation only)
breast neoplasms	Fluoxymesterone	DB01185	1	1	NA	In the male HALOTESTIN Tablets are indicated for Replacement therapy in conditions associated with symptoms of deficiency or absence of endogenous testosterone. Primary hypogonadism (congenital or acquired) testicular failure due to cryptorchidism, bilateral torsion, orchitis , vanishing testis syndrome; or orchidectomy. Hypogonadotropic hypogonadism (congenital or acquired)idiopathic gonadotropin or LHRH deficiency, or pituitary-hypothalamic injury from tumors, trauma, or radiation. Primary hypogonadism (congenital or acquired) testicular failure due to cryptorchidism, bilateral torsion, orchitis , vanishing testis syndrome; or orchidectomy. Hypogonadotropic hypogonadism (congenital or acquired)idiopathic gonadotropin or LHRH deficiency, or pituitary-hypothalamic injury from tumors, trauma, or radiation. Delayed puberty, provided it has been definitely established as such, and is not just a familial trait. In the female HALOTESTIN Tablets are indicated for palliation of androgen-responsive recurrent mammary cancer in women who are more than one year but less than five years postmenopausal, or who have been proven to have a hormone- dependent tumor as shown by previous beneficial response to castration.	HALOTESTIN Tablets are indicated for palliation of androgen-responsive recurrent mammary cancer in women
breast neoplasms	Goserelin	DB00014	0	0	0,95	ZOLADEX is a Gonadotropin Releasing Hormone (GnRH) agonist indicated for: Use in combination with flutamide for the management of locally confined carcinoma of the prostate (1.1) Use as palliative treatment of advanced carcinoma of the prostate (1.2)	
breast neoplasms	Letrozole	DB01006	0	1	0,848148	Femara is an aromatase inhibitor indicated for: Adjuvant treatment of postmenopausal women with hormone receptor positive early breast cancer (1.1) Extended adjuvant treatment of postmenopausal women with early breast cancer who have received prior standard adjuvant tamoxifen therapy (1.2) First and second-line treatment of postmenopausal women with hormone receptor positive or unknown advanced breast cancer (1.3)	
breast neoplasms	Medroxyprogesterone	DB00603	0	0	0,909091	Medroxyprogesterone Acetate Tablets USP are a progestin indicated for the treatment of secondary amenorrhea and abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology, such as fibroids or uterine cancer. Medroxyprogesterone Acetate Tablets USP are also indicated to reduce the incidence of endometrial hyperplasia in nonhysterectomized postmenopausal women receiving daily oral conjugated estrogens 0.625 mg tablets.	
breast neoplasms	Megestrol	DB00351	0	0	0,904762	Megestrol acetate oral suspension is indicated for the treatment of anorexia, cachexia, or an unexplained, significant weight loss in patients with a diagnosis of acquired immunodeficiency syndrome (AIDS).	
breast neoplasms	Methotrexate	DB00563	0	1	0,8	Neoplastic Diseases Methotrexate is indicated in the treatment of gestational choriocarcinoma, chorio-adenoma destruens and hydatidiform mole. Methotrexate is used in maintenance therapy in combination with other chemotherapeutic agents. Methotrexate is used alone or in combination with other anticancer agents in the treatment of breast cancer, epidermoid cancers of the head and neck, advanced mycosis fungoides (cutaneous T cell lymphoma), and lung cancer, particularly squamous cell and small cell types. Methotrexate is also used in combination with other chemotherapeutic agents in the treatment of advanced stage non-Hodgkins lymphomas. Psoriasis Methotrexate is indicated in the symptomatic control of severe, recalcitrant, disabling psoriasis that is not adequately responsive to other forms of therapy, but only when the diagnosis has been established, as by biopsy and/or after dermatologic consultation. It is important to ensure that a psoriasis flare is not due to an undiagnosed concomitant disease affecting immune responses. Rheumatoid Arthritis including Polyarticular-Course Juvenile Rheumatoid Arthritis Methotrexate is indicated in the management of selected adults with severe, active, rheumatoid arthritis (ACR criteria), or children with active polyarticular-course juvenile rheumatoid arthritis, who have had an insufficient therapeutic response to, or are intolerant of, an adequate trial of first-line therapy including full dose non-steroidal anti-inflammatory agents (NSAIDs). Aspirin, NSAIDs, and/or low dose steroids may be continued, although the possibility of increased toxicity with concomitant use of NSAIDs including salicylates has not been fully explored. (See PRECAUTIONS, Drug Interactions.) Steroids may be reduced gradually in patients who respond to methotrexate. Combined use of methotrexate with gold, penicillamine, hydroxychloroquine, sulfasalazine, or cytotoxic agents, has not been studied and may increase the incidence of adverse effects. Rest and physiotherapy as indicated should be continued.	
breast neoplasms	Methyltestosterone	DB06710	0	1	NA	Androgens are indicated for replacement therapy in conditions associated with a deficiency or absence of endogenous testosterone: Primary hypogonadism (congenital or acquired)  testicular failure due to cryptorchidism, bilateral torsion, orchitis, vanishing testis syndrome; or orchidectomy. Hypogonadotropic hypogonadism (congenital or acquired)  gonadotropin or luteinizing hormone-releasing hormone (LHRH) deficiency, or pituitary hypothalamic injury from tumors, trauma, or radiation. (Appropriate adrenal cortical and thyroid hormone replacement therapy are still necessary, however, and are actually of primary importance.) If the above conditions occur prior to puberty, androgen replacement therapy will be needed during the adolescent years for development of secondary sexual characteristics. Prolonged androgen treatment will be required to maintain sexual characteristics in these and other males who develop testosterone deficiency after puberty. Safety and efficacy of Testred (methyltestosterone) in men with age-related hypogonadism (also referred to as late-onset hypogonadism) have not been established. Androgens may be used to stimulate puberty in carefully selected males with clearly delayed puberty. These patients usually have a familial pattern of delayed puberty that is not secondary to a pathological disorder; puberty is expected to occur spontaneously at a relatively late date. Brief treatment with conservative doses may occasionally be justified in these patients if they do not respond to psychological support. The potential adverse effect on bone maturation should be discussed with the patient and parents prior to androgen administration. An X-ray of the hand and wrist to determine bone age should be obtained every 6 months to assess the effect of treatment on the epiphyseal centers (see WARNINGS). Safety and efficacy of Testred (methyltestosterone) in men with age-related hypogonadism (also referred to as late-onset hypogonadism) have not been established. Androgens may be used to stimulate puberty in carefully selected males with clearly delayed puberty. These patients usually have a familial pattern of delayed puberty that is not secondary to a pathological disorder; puberty is expected to occur spontaneously at a relatively late date. Brief treatment with conservative doses may occasionally be justified in these patients if they do not respond to psychological support. The potential adverse effect on bone maturation should be discussed with the patient and parents prior to androgen administration. An X-ray of the hand and wrist to determine bone age should be obtained every 6 months to assess the effect of treatment on the epiphyseal centers (see WARNINGS). Androgens may be used to stimulate puberty in carefully selected males with clearly delayed puberty. These patients usually have a familial pattern of delayed puberty that is not secondary to a pathological disorder; puberty is expected to occur spontaneously at a relatively late date. Brief treatment with conservative doses may occasionally be justified in these patients if they do not respond to psychological support. The potential adverse effect on bone maturation should be discussed with the patient and parents prior to androgen administration. An X-ray of the hand and wrist to determine bone age should be obtained every 6 months to assess the effect of treatment on the epiphyseal centers (see WARNINGS). Androgens may be used secondarily in women with advancing inoperable metastatic (skeletal) mammary cancer who are 1 to 5 years postmenopausal. Primary goals of therapy in these women include ablation of the ovaries. Other methods of counteracting estrogen activity are adrenalectomy, hypophysectomy, and/or antiestrogen therapy. This treatment has also been used in premenopausal women with breast cancer who have benefitted from oophorectomy and are considered to have a hormone-responsive tumor. Judgment concerning androgen therapy should be made by an oncologist with expertise in this field.	
breast neoplasms	Tamoxifen	DB00675	0	1	0,738739	NOLVADEX is effective in the treatment of metastatic breast cancer in women and men. In premenopausal women with metastatic breast cancer, NOLVADEX is an alternative to oophorectomy or ovarian irradiation. Available evidence indicates that patients whose tumors are estrogen receptor positive are more likely to benefit from NOLVADEX therapy. NOLVADEX is indicated for the treatment of node-positive breast cancer in postmenopausal women following total mastectomy or segmental mastectomy, axillary dissection, and breast irradiation. In some NOLVADEX adjuvant studies, most of the benefit to date has been in the subgroup with four or more positive axillary nodes. NOLVADEX is indicated for the treatment of axillary node-negative breast cancer in women following total mastectomy or segmental mastectomy, axillary dissection, and breast irradiation. The estrogen and progesterone receptor values may help to predict whether adjuvant NOLVADEX therapy is likely to be beneficial. NOLVADEX reduces the occurrence of contralateral breast cancer in patients receiving adjuvant NOLVADEX therapy for breast cancer. In women with DCIS, following breast surgery and radiation, NOLVADEX is indicated to reduce the risk of invasive breast cancer (see BOXED WARNING at the beginning of the label). The decision regarding therapy with NOLVADEX for the reduction in breast cancer incidence should be based upon an individual assessment of the benefits and risks of NOLVADEX therapy. Current data from clinical trials support five years of adjuvant NOLVADEX therapy for patients with breast cancer. NOLVADEX is indicated to reduce the incidence of breast cancer in women at high risk for breast cancer. This effect was shown in a study of 5 years planned duration with a median follow-up of 4.2 years. Twenty-five percent of the participants received drug for 5 years. The longer-term effects are not known. In this study, there was no impact of tamoxifen on overall or breast cancer-related mortality (see BOXED WARNING at the beginning of the label). NOLVADEX is indicated only for high-risk women. High risk is defined as women at least 35 years of age with a 5-year predicted risk of breast cancer  1.67%, as calculated by the Gail Model. Examples of combinations of factors predicting a 5-year risk  1.67% are: One first degree relative with a history of breast cancer, 2 or more benign biopsies, and a history of a breast biopsy showing atypical hyperplasia; or At least 2 first degree relatives with a history of breast cancer, and a personal history of at least one breast biopsy; or LCIS One first degree relative with a history of breast cancer, 2 or more benign biopsies, age at first live birth 25 or older, and age at menarche 11 or younger; or At least 2 first degree relatives with a history of breast cancer, and age at first live birth 19 or younger; or One first degree relative with a history of breast cancer, and a personal history of a breast biopsy showing atypical hyperplasia. At least 2 first degree relatives with a history of breast cancer and age at first live birth 24 or younger; or One first degree relative with a history of breast cancer with a personal history of a benign breast biopsy, age at menarche 11 or less and age at first live birth 20 or more. At least 2 first degree relatives with a history of breast cancer; or History of one breast biopsy showing atypical hyperplasia, and age at first live birth 30 or older and age at menarche 11 or less; or History of at least two breast biopsies with a history of atypical hyperplasia, and age at first live birth 30 or more. One first degree relative with a history of breast cancer with a personal history of a benign breast biopsy, and age at menarche 11 or less; or History of at least 2 breast biopsies with a history of atypical hyperplasia, and age at first live birth 20 or older. 5-year predicted risk of breast cancer  1.67%, as calculated by the Gail Model. For women whose risk factors are not described in the above examples, the Gail Model is necessary to estimate absolute breast cancer risk. Health Care Professionals can obtain a Gail Model Risk Assessment Tool by dialing 1-800-544-2007. There are insufficient data available regarding the effect of NOLVADEX on breast cancer incidence in women with inherited mutations (BRCA1, BRCA2) to be able to make specific recommendations on the effectiveness of NOLVADEX in these patients. After an assessment of the risk of developing breast cancer, the decision regarding therapy with NOLVADEX for the reduction in breast cancer incidence should be based upon an individual assessment of the benefits and risks of NOLVADEX therapy. In the NSABP P-1 trial, NOLVADEX treatment lowered the risk of developing breast cancer during the follow-up period of the trial, but did not eliminate breast cancer risk (See Table 3 in CLINICAL PHARMACOLOGY).	
breast neoplasms	Vinblastine	DB00570	0	1	NA	Vinblastine Sulfate Injection is indicated in the palliative treatment of the following: I. Frequently Responsive Malignancies Generalized Hodgkins disease (Stages III and IV, Ann Arbor modification of Rye staging system) Lymphocytic lymphoma (nodular and diffuse, poorly and well differentiated) Histiocytic lymphoma Mycosis fungoides (advanced stages) Advanced carcinoma of the testis Kaposis sarcoma Letterer-Siwe disease (histiocytosis X) II. Less Frequently Responsive Malignancies Choriocarcinoma resistant to other chemotherapeutic agents Carcinoma of the breast, unresponsive to appropriate endocrine surgery and hormonal therapy Current principles of chemotherapy for many types of cancer include the concurrent administration of several antineoplastic agents. For enhanced therapeutic effect without additive toxicity, agents with different dose-limiting clinical toxicities and different mechanisms of action are generally selected. Therefore, although vinblastine sulfate is effective as a single agent in the aforementioned indications, it is usually administered in combination with other antineoplastic drugs. Such combination therapy produces a greater percentage of response than does a single-agent regimen. These principles have been applied, for example, in the chemotherapy of Hodgkins disease. Vinblastine sulfate has been shown to be one of the most effective single agents for the treatment of Hodgkins disease. Advanced Hodgkins disease has also been successfully treated with several multiple-drug regimens that included vinblastine sulfate. Patients who had relapses after treatment with the MOPP program mechlorethamine hydrochloride (nitrogen mustard), vincristine sulfate, prednisone and procarbazinehave likewise responded to combination-drug therapy that included vinblastine sulfate. A protocol using cyclophosphamide in place of nitrogen mustard and vinblastine sulfate instead of vincristine sulfate is an alternative therapy for previously untreated patients with advanced Hodgkins disease. Advanced testicular germinal-cell cancers (embryonal carcinoma, teratocarcinoma and choriocarcinoma) are sensitive to vinblastine sulfate alone, but better clinical results are achieved when vinblastine sulfate is administered concomitantly with other antineoplastic agents. The effect of bleomycin is significantly enhanced if vinblastine sulfate is administered six to eight hours prior to the administration of bleomycin; this schedule permits more cells to be arrested during metaphase, the stage of the cell cycle in which bleomycin is active.	
breast neoplasms	Vinorelbine	DB00361	0	0	0,847826	Vinorelbine Injection, USP is a vinca alkaloid indicated: In combination with cisplatin for first-line treatment of patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) (1) As a single agent, for first line treatment of patients with metastatic NSCLC (1)	
cardiomyopathy dilated	Amrinone	DB01427	0	0	NA		No corresponding FDA label
cardiovascular diseases	Atorvastatin	DB01076	0	1	NA	LIPITOR is an inhibitor of HMG-CoA reductase (statin) indicated as an adjunct therapy to diet to: Reduce the risk of MI, stroke, revascularization procedures, and angina in patients without CHD, but with multiple risk factors (1.1). Reduce the risk of MI and stroke in patients with type 2 diabetes without CHD, but with multiple risk factors (1.1). Reduce the risk of non-fatal MI, fatal and non-fatal stroke, revascularization procedures, hospitalization for CHF, and angina in patients with CHD (1.1). Reduce elevated total-C, LDL-C, apo B, and TG levels and increase HDL-C in adult patients with primary hyperlipidemia (heterozygous familial and nonfamilial) and mixed dyslipidemia (1.2). Reduce elevated TG in patients with hypertriglyceridemia and primary dysbetalipoproteinemia (1.2). Reduce total-C and LDL-C in patients with homozygous familial hypercholesterolemia (HoFH) (1.2). Reduce elevated total-C, LDL-C, and apo B levels in boys and postmenarchal girls, 10 to 17 years of age, with heterozygous familial hypercholesterolemia after failing an adequate trial of diet therapy (1.2). Limitations of Use LIPITOR has not been studied in Fredrickson Types I and V dyslipidemias.	
cardiovascular diseases	Cholecalciferol	DB00169	0	1	NA	Nifediac CC extended-release tablets are indicated for the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents.	
cardiovascular diseases	Lovastatin	DB00227	0	1	NA	Therapy with lovastatin tablets USP should be a component of multiple risk factor intervention in those individuals with dyslipidemia at risk for atherosclerotic vascular disease. Lovastatin tablets USP should be used in addition to a diet restricted in saturated fat and cholesterol as part of a treatment strategy to lower total-C and LDL-C to target levels when the response to diet and other nonpharmacological measures alone has been inadequate to reduce risk. Primary Prevention of Coronary Heart Disease In individuals without symptomatic cardiovascular disease, average to moderately elevated total-C and LDL-C and below average HDL-C, lovastatin tablets USP are indicated to reduce the risk of: -Myocardial infarction -Unstable angina -Coronary revascularization procedures (See CLINICAL PHARMACOLOGY, Clinical Studies). Coronary Heart Disease Lovastatin tablets USP are indicated to slow the progression of coronary atherosclerosis in patients with coronary heart disease as part of a treatment strategy to lower total-C and LDL-C to target levels. Hypercholesterolemia Therapy with lipid-altering agents should be a component of multiple risk factor intervention in those individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Lovastatin tablets USP are indicated as an adjunct to diet for the reduction of elevated total-C and LDL-C levels in patients with primary hypercholesterolemia (Types IIa and IIb2), when the response to diet restricted in saturated fat and cholesterol and to other nonpharmacological measures alone has been inadequate. IDL = intermediate-density lipoprotein. Adolescent Patients with Heterozygous Familial Hypercholesterolemia Lovastatin tablets USP are indicated as an adjunct to diet to reduce total-C, LDL-C and apolipoprotein B levels in adolescent boys and girls who are at least one year post-menarche, 10 to 17 years of age, with heFH if after an adequate trial of diet therapy the following findings are present: 1. LDL-C remains >189 mg/dL or 2. LDL-C remains >160 mg/dL and: there is a positive family history of premature cardiovascular disease or two or more other CVD risk factors are present in the adolescent patient General Recommendations Prior to initiating therapy with lovastatin, secondary causes for hypercholesterolemia (e.g., poorly controlled diabetes mellitus, hypothyroidism, nephrotic syndrome, dysproteinemias, obstructive liver disease, other drug therapy, alcoholism) should be excluded, and a lipid profile performed to measure total-C, HDL-C, and TG. For patients with TG less than 400 mg/dL (<4.5 mmol/L), LDL-C can be estimated using the following equation: LDL-C = total-C  [0.2  (TG) + HDL-C] For TG levels >400 mg/dL (>4.5 mmol/L), this equation is less accurate and LDL-C concentrations should be determined by ultracentrifugation. In hypertriglyceridemic patients, LDL-C may be low or normal despite elevated total-C. In such cases, lovastatin tablets USP are not indicated. The National Cholesterol Education Program (NCEP) Treatment Guidelines are summarized below: CHD, coronary heart disease Some authorities recommend use of LDL-lowering drugs in this category if an LDL-C level of <100 mg/dL cannot be achieved by therapeutic lifestyle changes. Others prefer use of drugs that primarily modify triglycerides and HDL-C, e.g., nicotinic acid or fibrate. Clinical judgment also may call for deferring drug therapy in this subcategory. Almost all people with 0 to 1 risk factor have a 10-year risk <10%; thus, 10-year risk assessment in people with 0 to 1 risk factor is not necessary. After the LDL-C goal has been achieved, if the TG is still 200 mg/dL, non-HDL-C (total-C minus HDL-C) becomes a secondary target of therapy. Non-HDL-C goals are set 30 mg/dL higher than LDL-C goals for each risk category. At the time of hospitalization for an acute coronary event, consideration can be given to initiating drug therapy at discharge if the LDL-C is 130 mg/dL (see NCEP Guidelines above). Since the goal of treatment is to lower LDL-C, the NCEP recommends that LDL-C levels be used to initiate and assess treatment response. Only if LDL-C levels are not available, should the total-C be used to monitor therapy. Although lovastatin tablets USP may be useful to reduce elevated LDL-C levels in patients with combined hypercholesterolemia and hypertriglyceridemia where hypercholesterolemia is the major abnormality (Type IIb hyperlipoproteinemia), it has not been studied in conditions where the major abnormality is elevation of chylomicrons, VLDL or IDL (i.e., hyperlipoproteinemia types I, III, IV, or V).2 The NCEP classification of cholesterol levels in pediatric patients with a familial history of hypercholesterolemia or premature cardiovascular disease is summarized below: Children treated with lovastatin in adolescence should be re-evaluated in adulthood and appropriate changes made to their cholesterol-lowering regimen to achieve adult goals for LDL-C.	
cardiovascular diseases	Pravastatin	DB00175	0	1	NA	Therapy with lipid-altering agents should be only one component of multiple risk factor intervention in individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Drug therapy is indicated as an adjunct to diet when the response to a diet restricted in saturated fat and cholesterol and other nonpharmacologic measures alone has been inadequate. 1.1 Prevention of Cardiovascular Disease In hypercholesterolemic patients without clinically evident coronary heart disease (CHD), Pravastatin Sodium Tablets USP are indicated to: reduce the risk of myocardial infarction (MI).reduce the risk of undergoing myocardial revascularization procedures.reduce the risk of cardiovascular mortality with no increase in death from non-cardiovascular causes. 1.2 Hyperlipidemia Pravastatin Sodium Tablets USP are indicated: as an adjunct to diet to reduce elevated total cholesterol (Total-C), low-density lipoprotein cholesterol (LDL-C), apolipoprotein B (ApoB), and triglyceride (TG) levels and to increase high-density lipoprotein cholesterol (HDL-C) in patients with primary hypercholesterolemia and mixed dyslipidemia (Fredrickson Types IIa and IIb).1as an adjunct to diet for the treatment of patients with elevated serum TG levels (Fredrickson Type IV).for the treatment of patients with primary dysbetalipoproteinemia (Fredrickson Type III) who do not respond adequately to diet.as an adjunct to diet and lifestyle modification for treatment of heterozygous familial hypercholesterolemia (HeFH) in children and adolescent patients ages 8 years and older if after an adequate trial of diet the following findings are present: a. LDL-C remains  190 mg/dL or b. LDL-C remains  160 mg/dL and:there is a positive family history of premature cardiovascular disease (CVD) ortwo or more other CVD risk factors are present in the patient. 1.3 Limitations of Use Pravastatin Sodium Tablets USP have not been studied in conditions where the major lipoprotein abnormality is elevation of chylomicrons (Fredrickson Types I and V).	
cardiovascular diseases	Simvastatin	DB00641	0	1	NA	Lipid-altering agents should be used in addition to a diet restricted in saturated fat and cholesterol (see National Cholesterol Education Program [NCEP] Treatment Guidelines, below). In patients with CHD or at high risk of CHD, simvastatin can be started simultaneously with diet. In patients at high risk of coronary events because of existing coronary heart disease, diabetes, peripheral vessel disease, history of stroke or other cerebrovascular disease, simvastatin is indicated to: Reduce the risk of total mortality by reducing CHD deaths. Reduce the risk of non-fatal myocardial infarction and stroke. Reduce the need for coronary and non-coronary revascularization procedures. Simvastatin tablets are indicated to: Reduce elevated total-C, LDL-C, Apo B, and TG, and to increase HDL-C in patients with primary hypercholesterolemia (heterozygous familial and nonfamilial) and mixed dyslipidemia (Fredrickson types IIa and IIb). Treat patients with hypertriglyceridemia (Fredrickson type lV hyperlipidemia). Treat patients with primary dysbetalipoproteinemia (Fredrickson type lll hyperlipidemia). Reduce total-C and LDL-C in patients with homozygous familial hypercholesterolemia as an adjunct to other lipid-lowering treatments (e.g., LDL apheresis) or if such treatments are unavailable. Simvastatin tablets are indicated as an adjunct to diet to reduce total-C, LDL-C, and Apo B levels in adolescent boys and girls who are at least one year post-menarche, 10 to 17 years of age, with heterozygous familial hypercholesterolemia, if after an adequate trial of diet therapy the following findings are present: LDL cholesterol remains  190 mg/dL; or LDL cholesterol remains  160 mg/dL and There is a positive family history of premature cardiovascular disease (CVD) or Two or more other CVD risk factors are present in the adolescent patient. The minimum goal of treatment in pediatric and adolescent patients is to achieve a mean LDL-C < 130 mg/dL. The optimal age at which to initiate lipid-lowering therapy to decrease the risk of symptomatic adulthood CAD has not been determined. Prior to initiating therapy with simvastatin tablets, secondary causes for hypercholesterolemia (e.g., hypothyroidism, nephrotic syndrome, dysproteinemias, obstructive liver disease, other drug therapy, alcoholism) should be excluded, and a lipid profile performed to measure total-C, HDL-C, and TG. For patients with TG less than 400 mg/dL (< 4.5 mmol/L), LDL-C can be estimated using the following equation: LDL-C = total-C  [(0.20 x TG) + HDL-C] For TG levels > 400 mg/dL (> 4.5 mmol/L), this equation is less accurate and LDL-C concentrations should be determined by ultracentrifugation. In many hypertriglyceridemic patients, LDL-C may be low or normal despite elevated total-C. In such cases, simvastatin tablets are not indicated. Lipid determinations should be performed at intervals of no less than four weeks and dosage adjusted according to the patient's response to therapy. The NCEP Treatment Guidelines are summarized in Table 6: CHD, coronary heart disease ome authorities recommend use of LDL-lowering drugs in this category if an LDL-C level of <100 mg/dL cannot be achieved by therapeutic lifestyle changes. Others prefer use of drugs that primarily modify triglycerides and HDL-C, e.g., nicotinic acid or fibrate. Clinical judgment also may call for deferring drug therapy in this subcategory. Almost all people with 0-1 risk factor have a 10-year risk <10%; thus, 10-year risk assessment in people with 0-1 risk factor is not necessary. After the LDL-C goal has been achieved, if the TG is still  200 mg/dL, non-HDL-C (total-C minus HDL-C) becomes a secondary target of therapy. Non-HDL-C goals are set 30 mg/dL higher than LDL-C goals for each risk category. At the time of hospitalization for an acute coronary event, consideration can be given to initiating drug therapy at discharge. The NCEP classification of cholesterol levels in pediatric patients with a familial history of either hypercholesterolemia or premature cardiovascular disease is summarized in Table 7. Since the goal of treatment is to lower LDL-C, the NCEP recommends that LDL-C levels be used to initiate and assess treatment response. Only if LDL-C levels are not available, should the total-C be used to monitor therapy. Simvastatin is indicated to reduce elevated LDL-C and TG levels in patients with Type IIb hyperlipidemia (where hypercholesterolemia is the major abnormality). However, it has not been studied in conditions where the major abnormality is elevation of chylomicrons (i.e., hyperlipidemia Fredrickson types I and V)3.	
colitis	Mesalazine	DB00244	0	1	0,173077	PENTASA is indicated for the induction of remission and for the treatment of patients with mildly to moderately active ulcerative colitis.	
colitis	Sulfasalazine	DB00795	0	1	0,526316	Sulfasalazine tablets are indicated: a)in the treatment of mild to moderate ulcerative colitis, and as adjunctive therapy in severe ulcerative colitis; and b)for the prolongation of the remission period between acute attacks of ulcerative colitis	
colitis ulcerative	Balsalazide	DB01014	0	1	0,571429	Balsalazide is a locally acting aminosalicylate indicated for the treatment of mildly to moderately active ulcerative colitis in adults (1) Safety and effectiveness of balsalazide beyond 12 weeks in adults have not been established (1)	
colitis ulcerative	Hydrocortisone	DB00741	0	0	0,808511	temporary relief of itching associated with minor skin irritations and rashes due to eczema insect bites poison ivy, poison oak, or poison sumac soaps detergents cosmetics jewelry seborrheic dermatitis psoriasis external genital and anal itching eczema insect bites poison ivy, poison oak, or poison sumac soaps detergents cosmetics jewelry seborrheic dermatitis psoriasis external genital and anal itching other uses of this product should be only under the advice and supervision of a doctor	
colitis ulcerative	Mercaptopurine	DB01033	0	0	0,3125	Mercaptopurine tablets are indicated for maintenance therapy of acute lymphatic (lymphocytic, lymphoblastic) leukemia as part of a combination regimen. The response to this agent depends upon the particular subclassification of acute lymphatic leukemia and the age of the patient (pediatric or adult). Mercaptopurine tablets are not effective for prophylaxis or treatment of central nervous system leukemia. Mercaptopurine tablets are not effective in acute myelogenous leukemia, chronic lymphatic leukemia, the lymphomas (including Hodgkins Disease), or solid tumors.	
colitis ulcerative	Mesalazine	DB00244	0	1	0,25	PENTASA is indicated for the induction of remission and for the treatment of patients with mildly to moderately active ulcerative colitis.	
colitis ulcerative	Nicotine	DB00184	0	0	NA	reduces withdrawal symptoms, including nicotine craving, associated with quitting smoking	
colitis ulcerative	Olsalazine	DB01250	0	1	NA	Olsalazine is indicated for the maintenance of remission of ulcerative colitis in patients who are intolerant of sulfasalazine.	
colitis ulcerative	Prednisolone	DB00860	0	0	0,607595	Steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides, when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation; corneal injury from chemical, radiation, or thermal burns, or penetration of foreign bodies.	
